OffspringID,InferredDad,InferredMum,Probability
MC19_J0258,MC19_RM024,MC19_F0587,1
MC19_J0266,MC19_RM074,MC19_F0888,1
MC19_J0274,MC19_M0304,MC19_F0187,1
MC19_J0282,MC19_M0355,MC19_F0402,1
MC19_J0290,MC19_M0304,MC19_F0187,1
MC19_J0298,MC19_M0600,MC19_F0029,1
MC19_J0306,MC19_M0896,#,1
MC19_J0314,MC19_M0564,MC19_F0149,1
MC19_J0322,MC19_M0173,MC19_F0912,1
MC19_J0330,MC19_M0056,MC19_F0977,1
MC19_J0338,MC19_M0313,MC19_F0539,1
MC19_J0251,MC19_RM113,#,1
MC19_J0259,MC19_RM070,MC19_F0215,1
MC19_J0267,MC19_M0104,MC19_F0073,1
MC19_J0275,MC19_M0518,MC19_F0192,1
MC19_J0283,MC19_M0020,#,1
MC19_J0291,MC19_M0020,#,1
MC19_J0299,MC19_RM067,MC19_F0057,1
MC19_J0307,MC19_RM069,MC19_F0595,1
MC19_J0315,MC19_M0355,MC19_F0402,1
MC19_J0323,MC19_M0531,MC19_F0078,1
MC19_J0331,MC19_M0900,MC19_F0006,1
MC19_J0339,MC19_RM099,MC19_F0912,1
MC19_J0252,MC19_M0662,MC19_F0578,1
MC19_J0260,*,#,1
MC19_J0268,MC19_M0355,MC19_F0402,1
MC19_J0276,MC19_M0840,MC19_F0120,1
MC19_J0284,MC19_M0516,MC19_F0455,1
MC19_J0292,MC19_RM113,#,1
MC19_J0300,MC19_M0831,MC19_F0096,1
MC19_J0308,MC19_RM020,MC19_F0459,1
MC19_J0316,*,#,1
MC19_J0324,MC19_M0997,MC19_F0918,1
MC19_J0332,MC19_M0012,MC19_F0964,1
MC19_J0340,MC19_M0907,MC19_F0240,1
MC19_J0253,MC19_RM087,#,1
MC19_J0261,MC19_M0056,MC19_F0977,1
MC19_J0269,*,#,1
MC19_J0277,MC19_M0681,MC19_F0038,1
MC19_J0285,MC19_RM057,MC19_F0242,1
MC19_J0293,MC19_M0053,MC19_F0100,1
MC19_J0301,MC19_RM050,MC19_F0593,1
MC19_J0309,MC19_M0976,#,1
MC19_J0317,MC19_RM113,#,1
MC19_J0325,MC19_RM020,MC19_F0459,1
MC19_J0333,MC19_RM025,MC19_F0264,1
MC19_J0341,MC19_RM012,#,1
MC19_J0254,MC19_RM106,MC19_F0488,1
MC19_J0262,MC19_RM022,MC19_F0989,1
MC19_J0270,MC19_M0968,MC19_F0404,1
MC19_J0278,MC19_RM101,MC19_F0038,1
MC19_J0286,MC19_M0681,MC19_F0038,1
MC19_J0294,MC19_M0681,MC19_F0038,1
MC19_J0302,MC19_RM113,#,1
MC19_J0318,MC19_M0012,MC19_F0964,1
MC19_J0326,MC19_M0831,MC19_F0096,1
MC19_J0334,MC19_RM094,MC19_F0163,1
MC19_J0343,MC19_RM011,MC19_F0461,1
MC19_J0351,MC19_RM057,MC19_F0242,1
MC19_J0359,*,#,1
MC19_J0367,MC19_RM044,MC19_F0977,1
MC19_J0375,MC19_RM083,MC19_F0268,1
MC19_J0391,MC19_M0681,MC19_F0038,1
MC19_J0399,*,#,1
MC19_J0407,MC19_RM005,MC19_F0100,1
MC19_J0415,MC19_M0113,MC19_F0147,1
MC19_J0423,MC19_M0831,MC19_F0096,1
MC19_J0431,MC19_RM034,#,1
MC19_J0344,MC19_M0968,MC19_F0404,1
MC19_J0352,MC19_M0968,MC19_F0404,1
MC19_J0360,MC19_M0682,MC19_F0980,1
MC19_J0368,MC19_M0409,MC19_F0057,1
MC19_J0376,MC19_M0409,MC19_F0057,1
MC19_J0384,MC19_RM032,MC19_F0539,1
MC19_J0392,MC19_RM010,MC19_F0922,1
MC19_J0400,MC19_RM034,#,1
MC19_J0408,MC19_M0693,MC19_F0268,1
MC19_J0416,MC19_M0518,MC19_F0192,1
MC19_J0424,MC19_M0304,MC19_F0187,1
MC19_J0432,MC19_M0891,MC19_F0106,1
MC19_J0345,MC19_M0423,MC19_F0909,1
MC19_J0353,MC19_RM102,MC19_F0658,1
MC19_J0361,*,MC19_F0506,1
MC19_J0369,MC19_M0997,MC19_F0918,1
MC19_J0377,MC19_M0355,MC19_F0402,1
MC19_J0385,MC19_M0891,MC19_F0106,1
MC19_J0393,MC19_RM105,MC19_F0404,1
MC19_J0401,MC19_RM027,MC19_F0192,1
MC19_J0409,MC19_RM008,MC19_F0964,1
MC19_J0417,MC19_RM033,#,1
MC19_J0425,MC19_M0056,MC19_F0977,1
MC19_J0433,MC19_RM013,MC19_F0251,1
MC19_J0346,MC19_M0900,MC19_F0006,1
MC19_J0354,MC19_RM029,MC19_F0909,1
MC19_J0362,MC19_M0408,MC19_F0485,1
MC19_J0370,MC19_RM113,#,1
MC19_J0378,*,MC19_F0138,1
MC19_J0386,MC19_RM064,MC19_F0075,1
MC19_J0394,MC19_RM033,#,1
MC19_J0402,MC19_RM105,MC19_F0404,1
MC19_J0410,MC19_M0208,MC19_F0243,1
MC19_J0418,MC19_M0304,MC19_F0187,1
MC19_J0426,*,#,1
MC19_J0434,MC19_RM010,MC19_F0922,1
MC19_J0347,MC19_RM067,MC19_F0057,1
MC19_J0355,*,#,1
MC19_J0363,*,#,1
MC19_J0371,*,#,1
MC19_J0379,MC19_RM064,MC19_F0075,1
MC19_J0387,MC19_M0997,MC19_F0918,1
MC19_J0395,MC19_M0056,MC19_F0977,1
MC19_J0403,MC19_M0672,MC19_F0075,1
MC19_J0411,*,#,1
MC19_J0419,MC19_M0531,MC19_F0078,1
MC19_J0427,MC19_M0907,MC19_F0240,1
MC19_J0435,MC19_RM020,MC19_F0459,1
MC19_J0348,MC19_M0299,MC19_F0504,1
MC19_J0356,MC19_M0246,MC19_F0010,1
MC19_J0364,MC19_M0353,MC19_F0461,1
MC19_J0372,MC19_M0053,MC19_F0100,1
MC19_J0380,*,MC19_F0957,1
MC19_J0388,MC19_M0173,MC19_F0912,1
MC19_J0396,MC19_M0058,MC19_F0264,1
MC19_J0404,MC19_M0900,MC19_F0006,1
MC19_J0412,MC19_M0304,MC19_F0187,1
MC19_J0420,MC19_RM087,#,1
MC19_J0428,MC19_RM007,MC19_F0106,1
